siren,name,naf,headcount,siteWeb,creationDate,Country Code
980218762,LE VIRAGE PRODUCTIONS,59.11B,1,,2023-09-20,FR
980244545,CONSERVATION & URGENCES DES TOITS EN SAINTONGE,43.91B,1,,2023-10-05,FR
980245963,ENESIS MANAGEMENT,70.22Z,1,,2023-09-26,FR
980253124,S & C,47.19B,3,,2023-10-03,FR
980253553,OMNIUM SOLUTIONS TOUS CORPS D'ETAT,71.12B,1,,2023-09-18,FR
980253827,DESIGNAUTOMATION 4.0,71.12B,1,,2023-10-02,FR
980307607,ROMAIN INGENIERING,71.12B,1,,2023-10-09,FR
980310056,HOME MEDIA CONNECT,47.43Z,1,,2023-10-03,FR
980333074,RT CONCEPT SUD,43.39Z,1,,2023-10-03,FR
980335400,DARISE,58.29C,1,,2023-10-03,FR
980353288,CHRISTINE CRAIPEAU FORMATION,82.99Z,1,,2023-09-28,FR
980361174,MDP,58.29C,2,,2023-10-09,FR
980369854,TRI-PORTAGE,82.99Z,1,,2023-09-13,FR
980374250,CONSULTANTS AKONOVIA FRANCE,71.12B,2,,2023-09-22,FR
980379101,INVENTAIRES SUD-OUEST PHARMACEUTIQUES,82.99Z,2,,2023-09-29,FR
980380661,VOTRE SIEGE SOCIAL,82.99Z,2,,2023-10-09,FR
980384796,AMC PROJET,71.12B,1,,2023-10-01,FR
980388292,SYRTALS MARKETS,71.12B,1,,2023-10-01,FR
980411482,FIMBER,82.99Z,1,,2023-10-09,FR
980416549,MANABU,85.59A,1,,2023-09-29,FR
980426738,AZALEO SUD-OUEST,71.12B,2,,2023-09-28,FR
980440481,ORKANE OUTRE MER,71.12B,1,,2023-10-10,FR
980444202,YANTRIS INFRA,71.12B,2,,2023-10-10,FR
980454847,EN CORPS,85.59A,1,,2023-10-11,FR
980460737,BFC CONSEILS 21,71.12B,11,,2023-10-11,FR
980467062,WORKCO FRANCE,82.99Z,1,,2023-10-06,FR
980469910,VIDAOU CONSEILS,82.99Z,1,,2023-10-10,FR
980471858,INOVI PARIS,71.12B,1,,2023-10-07,FR
980503536,NEXT STEP TECHNOLOGIES,71.12B,2,,2023-10-12,FR
980513238,PLEASE TRANSPORT LUXURY,82.99Z,1,,2023-09-21,FR
980517767,2S2C,71.12B,2,,2023-10-10,FR
980523971,TAIZO,71.12B,1,,2023-10-13,FR
980546873,GROUPE BATIMENT RENO,82.99Z,1,,2023-10-05,FR
980587638,PRO-PORTAGE,82.99Z,1,,2023-10-16,FR
980590806,OHM'R,71.12B,1,,2023-10-11,FR
980599500,BOOSTOA,85.59A,1,,2023-09-13,FR
980614234,B.E.T. SALADINO RENOVATION,71.12B,1,,2023-10-09,FR
980629539,SPI EXPLOITATION,71.12B,1,,2023-10-10,FR
980633598,MCONCEPTION INGENIERIE,71.12B,1,,2023-10-09,FR
980648604,EMISSE,71.12B,1,,2023-10-15,FR
980658546,GAMY CONSULTING,82.99Z,1,,2023-10-15,FR
980664858,SG TOIT,43.91B,1,,2023-10-17,FR
980667083,AMG BATIMENT,71.12B,2,,2023-10-11,FR
980702872,SYDLAG,71.12B,1,,2023-10-18,FR
980734750,VMH SOLUTIONS,71.12B,1,,2023-10-18,FR
980796866,BOONTY,58.29C,1,,2023-10-11,FR
980799944,MIC AUTOMATISME,71.12B,1,,2023-10-18,FR
980800023,NEW GPL CONSEILS,82.99Z,2,,2023-10-20,FR
980814065,COMIX AI,58.29C,2,,2023-10-04,FR
980819866,DREAM ENERGY MOBILITY,71.12B,1,,2023-10-23,FR
980834006,JET TOITURE,43.91B,1,,2023-10-20,FR
980865802,MOBISLOW,71.12B,1,,2023-10-23,FR
980893358,ORALYA ACADEMIE,85.59A,1,,2023-10-25,FR
980895056,DROP ACADEMY TOULOUSE,85.59A,1,,2023-10-23,FR
980899595,SKYNOPY,71.12B,1,,2023-10-13,FR
980902662,B2COM AND CO,82.99Z,1,,2023-11-01,FR
980909543,LATINUM FORMATION,85.59A,1,,2023-10-17,FR
980920136,JERENOV',71.12B,1,,2023-09-23,FR
980920151,TOUS TRAVAUX,82.99Z,3,,2023-10-25,FR
980939128,CUBE,82.99Z,1,,2023-10-13,FR
980942460,PHENIX STUDIO,59.11B,1,,2023-10-19,FR
980945695,AMG INGENIERIE,71.12B,1,,2023-11-02,FR
980959811,COMADVANCE FORMATION,73.11Z,3,,2023-10-24,FR
980966873,RIVIERE METAL COORDINATION,71.12B,1,,2023-10-26,FR
980987341,ZEITNOT,85.59A,1,,2023-10-19,FR
981002363,BRC PRODUCTION,59.11B,1,,2023-10-01,FR
981047731,YAMIC +,85.59A,1,,2023-11-01,FR
981065923,AG PRESTA,82.99Z,1,,2023-10-23,FR
981073646,NR MAITRISE D'OEUVRE,71.12B,1,,2023-10-27,FR
981078264,STAAT FORMATION,85.59A,2,,2023-11-01,FR
981094105,COLBERT FAMILY OFFICE,70.22Z,1,,2023-11-06,FR
981097074,NEO BOIS CONCEPT,82.99Z,1,,2023-10-30,FR
981142664,PVE,71.12B,1,,2023-10-30,FR
981155542,THOMYL,71.12B,1,,2023-10-23,FR
981179690,SEEC FR,71.12B,1,,2023-10-28,FR
981187750,ACAMA ENR,71.12B,1,,2023-11-01,FR
981190374,CROCECOM,82.99Z,1,,2023-10-23,FR
981198591,BACKWORKS,70.22Z,1,,2023-10-01,FR
981200629,VOILA LAURE,71.12B,1,,2023-10-27,FR
981207806,FLUIDE SERVICE INDUSTRIE,71.12B,2,,2023-12-13,FR
981215718,BLOSSOM LIFE SCIENCES,58.29C,1,,2023-10-24,FR
981254246,HYGGLE,71.12B,1,,2023-11-03,FR
981308570,CONNECT'OI,47.43Z,1,,2023-11-01,FR
981310279,CCA SUD PRODUCTION,59.11B,1,,2023-11-02,FR
981326838,ROUSSET ETUDE & DEVELOPPEMENT,33.20A,1,,2023-12-01,FR
981350598,LELUBOX,82.99Z,1,,2023-12-01,FR
981352727,SPACE INVADERS WORLD,59.11B,1,,2023-11-01,FR
981359615,CERIB OCEAN INDIEN,71.12B,1,,2023-11-07,FR
981367881,SB LEARN,85.59B,1,,2023-11-06,FR
981384175,ENEZ CONSTRUCTION,71.12B,3,,2023-10-02,FR
981415458,EURO TECH PORTAGE,82.99Z,1,,2023-11-09,FR
981422363,RBA SASU,85.59A,1,,2023-12-01,FR
981423098,BEAM,71.12B,1,,2023-10-26,FR
981430036,EGA SERVICES,71.12B,1,,2023-11-10,FR
981516206,PREVENTION MEDITERRANEE NORMANDIE,71.12B,1,,2023-11-03,FR
981522238,ALP'OPHTA,82.99Z,2,,2023-11-09,FR
981523145,ELYSIUM ENGINEERING,71.12B,1,,2023-11-08,FR
981535164,BHM ENERGIE,71.12B,1,,2023-11-13,FR
981545064,FAROAD,58.29C,1,,2023-10-17,FR
981576887,VERUM RESEAU,71.12B,1,,2023-12-01,FR
981613813,AUDRIN GERARD CONSULTING,71.12B,1,,2023-10-01,FR
981628928,INFLUENCIO,59.11B,2,,2023-10-20,FR
981636665,FP URGENCE,85.59A,1,,2023-11-13,FR
981638893,FORM OPS,85.59A,1,,2023-12-01,FR
981648546,ALLINE,71.12B,1,,2023-11-10,FR
981707649,INGELIO,71.12B,2,,2023-12-01,FR
981715980,NYDAS CONSULTING,71.12B,2,,2023-11-14,FR
981761646,CORIS INNOVATION RHA,71.12B,12,,2023-10-31,FR
981766751,CORIS INNOVATION CVL,71.12B,3,,2023-10-31,FR
981767965,TOP TOIT,71.12B,3,,2023-11-08,FR
981779390,SOCIETE SAVY,71.12B,1,,2023-11-20,FR
981786346,MRIE,71.12B,1,,2023-10-16,FR
981797582,ISO SOLUTION FRANCE,43.21A,1,,2023-11-21,FR
981816648,VLAB-EXPERT,71.12B,1,,2023-11-17,FR
981828643,CAP SPORT FORMATION,85.59A,2,,2023-09-25,FR
981878804,INGENIERIE SUPERSTRUCTURE OUVRAGE D'ART,71.12B,3,,2023-11-10,FR
981924764,E.MO.BAT,71.12B,1,,2023-11-24,FR
981969942,EVOTIS,58.29C,1,,2023-11-20,FR
982015208,CAPITAL INNOVATION,85.59A,1,,2023-11-24,FR
982064990,VIRIDIS CONSEIL,71.12B,1,,2023-11-28,FR
982090565,SIMBARC,43.31Z,2,,2023-11-30,FR
982116790,DUPONT LEWIS & SONS,70.22Z,11,,2023-12-01,FR
982137390,REMI,71.12B,1,,2023-11-06,FR
982156168,MATHS AND GO,58.29C,1,,2023-11-24,FR
982230542,PHOENIX FORMATION,85.59A,1,,2023-12-01,FR
982420283,NEXITY SOLAIRE,71.12B,1,,2023-12-05,FR
982457145,PROVENCE CONSTRUCTION AMENAGEMENT,71.12B,1,,2023-11-24,FR
982584831,LOWY,85.59A,2,,2023-12-14,FR
982634131,OPTIFIBRE,71.12B,1,,2023-12-01,FR
982655664,CAROLE BONNET COACHING,85.59A,1,,2023-12-20,FR
982672875,SUITE FORMA,85.59A,1,,2023-12-18,FR
982806309,THE ACADEMY,85.59A,1,,2023-12-20,FR
982847535,SN EUROCOM ENERGIE,71.12B,11,,2023-12-15,FR
982860611,CRE-ACTION,85.59A,1,,2023-12-22,FR
