company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,evidence_url_3,source_type_3,evidence_url_4,source_type_4,confidence,notes_claude,notes_chatgpt,sources
RMUS Canada,CA,Solutions Provider,Dock 2 + Dock 3,Multiple,https://rmus.ca/,https://www.linkedin.com/company/rmus-canada,https://rmus.ca/dji-dock-2/,Company Website,https://www.linkedin.com/posts/rmus-canada_dji-dock-2-activity-7178387354741534720-Mibm,LinkedIn,,,,,High,Enterprise solutions provider with training and maintenance services,,Claude
SpeedyDrone Canada,CA,Authorized Dealer,Dock Series,Unknown,https://www.speedydrone.ca/,,https://www.speedydrone.ca/,Company Website,,Company Website,,,,,Medium,DJI Dealer in Toronto; mentions Dock Series products,,Claude
Volatus Drones,CA,Authorized Dealer,Dock,Multiple,https://volatusdrones.ca/,https://www.linkedin.com/company/volatus-drones,https://volatusdrones.ca/products/dji-dock-2,Company Website,https://www.linkedin.com/in/john-jairo-vargas-9641b8199/,LinkedIn,https://volatusdrones.ca/collections/dji-dock-3-matrice-4d-series,Company Website,,,High,Authorized repair and servicing centre for Dock 1 and Dock 2,Canadian reseller collection for DJI Dock 3 and Matrice 4D series.,Claude + ChatGPT
Wonderfull,CA,Distributor,Dock 3,1,https://wonderfull.ca/,https://www.linkedin.com/company/wonderfull-canada,https://wonderfull.ca/,Company Website,https://dronedj.com/guides/dji-dock-3/,Industry News,,,,,High,DJI Agriculture Drones General Distributor of Canada; Exclusive DJI Academy Training Center,,Claude
HEISHA,IN,Competing Dock Provider,N/A (Alternative to DJI Dock),Multiple,https://heishatech.com/,Unknown,https://www.flytbase.com/blog/solar-farm-inspections,Case Study,https://dronedj.com/2022/05/27/heisha-d50-drone-dock-dji-autel/,News Article,,,,,High,OEM drone dock provider. AfterFIT used Heisha Drone Nest (compatible with DJI aircraft) alongside DJI drones. D-series docks for M300/M350/M400. Not Japan-based but deployed in Japan.,,Claude
ACRE Surveying Solutions,ES,Authorized Dealer,Dock 1 / Dock 2 / Dock 3,Unknown,https://grupoacre.es/,https://www.linkedin.com/company/grupo-acre/,https://grupoacre.es/catalogo-marca/dji/,Distributor Website,https://grupoacre.es/catalogo-productos/dji-dock-2-plataforma-de-despegue-y-aterrizaje/,Product Page,,,,,High,"Official DJI Enterprise distributor and DJI Gold Partner. Located in Illescas (Toledo). Full catalog includes Dock 1, Dock 2, and Dock 3. Multiple product pages listing all models.",,Claude
ATyges,ES,Authorized Dealer,Dock 2 / Dock 3,Unknown,https://atyges.es/,https://www.linkedin.com/company/atyges/,https://atyges.es/tienda/dji-dock-2/,Product Page,https://atyges.es/dji-dock-3-y-serie-matrice-4d/,Product Page,,,,,High,Authorized DJI distributor. Multiple Dock 2 and Dock 3 product variations available with Matrice drone bundles.,,Claude
Aero Industrial Iberia,ES,Authorized Dealer,Dock 1 / Dock 2 / Dock 3,Unknown,https://www.aeroindustrialiberia.com/,https://www.linkedin.com/company/aero-industrial-iberia/,https://www.aeroindustrialiberia.com/oficial-dji-store-espana/,Distributor Website,https://www.aeroindustrialiberia.com/producto/dji-dock-2/,Product Page,,,,,High,"Official DJI Store reference in Spain. Physical locations in Barcelona and Madrid. Authorized Enterprise distributor. Sells Dock 1, Dock 2, and Dock 3.",,Claude
Al-Top Topografía SA,ES,Authorized Dealer,Dock 1 / Dock 2 / Dock 3,Unknown,https://al-top.com/,https://www.linkedin.com/company/al-top-topografia-sa/,https://al-top.com/producto/dji-dock-2/,Product Page,https://al-top.com/producto/dji-dock-3/,Product Page,,,,,High,"Authorized DJI Enterprise distributor and Trimble Geospatial partner. Full Dock product line (1, 2, 3). Also sells vehicle mounting adapter for Dock 3.",,Claude
DJI ARS Madrid Technical Center,ES,Software Platform,Dock 1 / Dock 2 / Dock 3,Unknown,https://djiarsmadrid.com/en/,https://www.linkedin.com/search/results/companies/?keywords=dji%20ars%20madrid,https://djiarsmadrid.com/en/,Official Page,Not Available,Not Available,,,,,Medium,DJI Store and Technical Center in Madrid. Official technical support and service center for DJI products including Dock series.,,Claude
DJI DRON,ES,Authorized Dealer,Dock,Unknown,https://www.djidron.com/,https://www.linkedin.com/company/dji-dron/,https://www.djidron.com/dron-dji/dji-dock-2/dji-dock-2/,Product Page,https://www.djidron.com/dron-dji/dji-dock-3/dji-dock-3/,Product Page,https://www.djidron.com/,Company Website,,,High,Authorized DJI distributor for Spain and Portugal. Multiple product pages for Dock 2 and Dock 3 bundles with Matrice drones. Phone: +34 91 617 38 34,Spanish reseller homepage explicitly referencing DJI Dock 3.,Claude + ChatGPT
DJI Store Iberia / DJI ARS Madrid,ES,Authorized Dealer,Dock 2 / Dock 3,Unknown,https://www.djistoreiberia.com/,https://www.linkedin.com/search/results/companies/?keywords=dji%20ars%20madrid,https://www.djistoreiberia.com/,Distributor Website,https://stockrc.com/en/,Store Page,,,,,High,Authorized DJI store in Madrid and Barcelona. Presented DJI Dock 2 at Unvex 2024 fair. Official authorized retailer for Spain.,,Claude
Dronense,ES,Software Platform / Reseller,Dock 2,Unknown,https://dronense.com/,https://www.linkedin.com/search/results/companies/?keywords=dronense,https://dronense.com/dji-dock-2-seguridad-y-precision-en-la-navegacion-autonoma/,Content Page,Not Available,Not Available,,,,,Medium,Technology information platform publishing content about DJI Dock 2 features and applications in Spain.,,Claude
Drones-Store,ES,Authorized Dealer,Unknown,Unknown,https://www.drones-store.es/,https://www.linkedin.com/search/results/companies/?keywords=drones-store%20spain,https://www.drones-store.es/,Distributor Website,Not Available,Not Available,,,,,Medium,Official DJI distributor in Spain with physical stores in Barcelona and Madrid. Official warranty included. No specific Dock product pages found.,,Claude
Endesa,ES,Government End-User,Dock 2,1,https://www.endesa.com/,https://www.linkedin.com/company/endesa/,https://enterprise-insights.dji.com/user-stories/how-endesa-deploys-the-dji-dock-2-to-transform-energy-management,Case Study,https://www.linkedin.com/posts/dji_how-endesa-deploys-the-dji-dock-2-to-transform-activity-7203727231418843136-qGRd,LinkedIn,,,,,High,Deployed DJI Dock 2 at Teruel Coal Power Station for 5-month decommissioning project. Primary use: demolition monitoring and asset management. Spanish energy company.,,Claude
Grupo StockRC,ES,Authorized Dealer,Dock 1 / Dock 2 / Dock 3,Unknown,https://grupostockrc.com/,https://www.linkedin.com/company/grupo-stockrc/,https://grupostockrc.com/,Distributor Website,https://tienda.stockrc.com/en_US,Online Store,,,,,High,"Official DJI Distributor for Spain and Portugal. Operates DJI Store Madrid with official technical support. Wholesaler for DJI Enterprise products. Multiple brands including DJI Stock RC, DJI Agriculture, UTC DJI Academy.",,Claude
Instop SLU,ES,Authorized Dealer,Dock 3,Unknown,https://www.instop.es/,https://www.linkedin.com/search/results/companies/?keywords=instop%20barcelona,https://www.instop.es/dji/dji-dock-3-enterprise.php,Product Page,Not Available,Not Available,,,,,Medium,Located in La Pobla de Claramunt (Barcelona) and Valencia. Distributor of Leica Geosystems and DJI. Provides DJI Dock 3 installation by technicians.,,Claude
Jdronestudio,ES,Authorized Dealer,Dock 3,Unknown,https://jdronestudio.com/,https://www.linkedin.com/search/results/companies/?keywords=jdronestudio,https://jdronestudio.com/dji-dock-3/,Product Page,Not Available,Not Available,,,,,Medium,Spanish retailer offering DJI Dock 3 with emphasis on autonomous 24/7 operations and extreme resistance features.,,Claude
Murciadrones,ES,Authorized Dealer,Dock,Unknown,https://www.murciadrones.es/,https://www.linkedin.com/search/results/companies/?keywords=murciadrones,https://www.murciadrones.es/product-category/drones-enterprise/dji-drones-enterprise/,Distributor Website,Not Available,Not Available,https://www.murciadrones.es/producto/dji-m30-dock-2/,Company Website,,,Medium,"Official DJI distributor in Murcia. Offers technical service, drone repair, drone courses, and aerial work services. No specific Dock product pages found.",Spanish reseller with DJI Dock bundle listing.,Claude + ChatGPT
Provideo Sevilla,ES,Authorized Dealer,Dock 3,Unknown,https://www.provideosevilla.com/,https://www.linkedin.com/search/results/companies/?keywords=provideo%20sevilla,https://www.provideosevilla.com/tienda-oficial-dji/,Distributor Website,https://www.provideosevilla.com/comprar/dji-dock-3/,Product Page,,,,,High,"Official DJI Store in Sevilla with 30+ years experience in audiovisual and technology. Full technical service and workshop. Located at C/ Desarrollo 1, Parque Industrial PISA, Mairena del Aljarafe (Sevilla).",,Claude
RPAS Drones,ES,Software Platform / Reseller,Dock 2 / Dock 3,Unknown,https://rpas-drones.com/,https://www.linkedin.com/search/results/companies/?keywords=rpas%20drones%20spain,https://rpas-drones.com/vuelos-automatizados-con-dji-dock/,Content Page,https://rpas-drones.com/dji-dock-3-operaciones-remotas-24-7/,Content Page,,,,,High,"Information and content provider about DJI Dock solutions in Spain. Multiple detailed articles on Dock 2 and Dock 3 applications for security, surveillance, and infrastructure inspection.",,Claude
RTF Drones,ES,System Integrator,Dock 3,1,https://rtfdrones.es/,https://www.linkedin.com/company/rtf-drones/,https://rtfdrones.es/main/servicios-drones/rtf-inspection/,Service Page,https://rtfdrones.es/tag/dji-ars-madrid-en-la-feria-unvex-2024/,News,,,,,High,Specialized drone inspection services for infrastructure. Uses DJI Dock 3 for automated programmed flights and continuous infrastructure monitoring. Based in Guadalajara with nationwide capacity.,,Claude
Skyports Drone Services,ES,DFR Service Provider,Dock 2,1,https://skyportsdroneservices.com/,https://www.linkedin.com/company/skyports-drone-services,https://www.suasnews.com/2026/03/skyports-drone-services-brings-automated-bvlos-drone-in-a-box-aerial-surveying-to-german-construction-leader-hochtief-piloted-from-spain/,Case Study,https://www.heliguy.com/blogs/posts/skyports-bvlos-drone-operations/,Industry News,,,,,High,Remote Operation Centre (ROC) in Madrid. Operating DJI Dock 2 for automated BVLOS surveying for HOCHTIEF construction project. Uses DJI Dock for autonomous inspection deployments.,,Claude
Tecnidronesystem,ES,Authorized Dealer,Dock 2 / Dock 3,Unknown,https://tecnidronesystem.com/,https://www.linkedin.com/search/results/companies/?keywords=tecnidronesystem,https://tecnidronesystem.com/producto/dji-dock-3/,Product Page,https://tecnidronesystem.com/dji-dock-2/,Product Page,,,,,High,Located in Alcobendas (Madrid). Recognized by AESA for drone pilot training. Offers Dock 2 and Dock 3 with technical information.,,Claude
Advexure,GB,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://advexure.com,https://www.linkedin.com/company/advexure,https://advexure.com/products/dji-dock-2,Company Website,https://advexure.com/products/dji-dock-3-for-matrice-4d-and-4td,Company Website,,,,,High,Comprehensive drone solutions provider; all Dock models,,Claude
AlphaGeo,GB,Authorized Dealer,Dock 1; Dock 2,Unknown,https://alphageouk.com,https://www.linkedin.com/company/alphageo-uk,https://alphageouk.com/products/dji-dock,Company Website,https://alphageouk.com/products/dji-dock-2,Company Website,,,,,High,Geospatial technology specialist; official UK distributor,,Claude
B-hive Innovations,GB,Enterprise End-User,Dock 3,1,https://www.b-hiveinnovations.co.uk,https://www.linkedin.com/company/b-hive-innovations,https://find-and-update.company-information.service.gov.uk/company/10695004,Government Record,https://www.linkedin.com/in/aidan-laing-57b340334/,LinkedIn Post,,,,,Medium,Agricultural technology; Dock 3 integration for crop monitoring,,Claude
CMS Distribution,GB,Distributor,Dock 1; Dock 2; Dock 3,Unknown,https://www.cmsdistribution.com,https://www.linkedin.com/company/cms-distribution,https://www.cmsdistribution.com/vendors/dji,Company Website,https://store.cmsdistribution.com/dji/,Company Website,,,,,Medium,Authorized DJI distributor for UK & Ireland since 2016,,Claude
Camera Centre UK,GB,Authorized Dealer,Dock 3,Unknown,https://www.cameracentreuk.com,https://www.linkedin.com/company/camera-centre-uk,https://www.cameracentreuk.com/dji-dock-3-dock-only,Company Website,https://www.cameracentreuk.com/drones,Company Website,,,,,Medium,Retail partner for DJI products including Dock 3,,Claude
Coptrz,GB,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://coptrz.com,https://www.linkedin.com/company/coptrz,https://coptrz.com/shop/drones/dji-dock-2/,Company Website,https://coptrz.com/shop/accessories-and-parts/dji-dock-3/,Company Website,,,,,High,Comprehensive DJI Dock retailer with educational resources,,Claude
DJI Retail UK,GB,Authorized Dealer,Dock,Unknown,https://dji-retail.co.uk,https://www.linkedin.com/company/dji-retail-uk,https://dji-retail.co.uk/products/dji-dock-2,Company Website,https://dji-retail.co.uk/products/dji-dock-3-dock-only,Company Website,,,,,High,Official UK retailer; flagship DJI|Hasselblad store in Birmingham,UK DJI retailer with separate Dock 2 and Dock 3 listings.,Claude + ChatGPT
Drone Air Solutions,GB,Authorized Dealer,Unknown,Unknown,https://www.droneairsolutions.co.uk,https://www.linkedin.com/company/drone-air-solutions,https://www.droneairsolutions.co.uk/DJI-Store,Company Website,https://enterprise.dji.com/find-a-dealer,DJI Case Study,,,,,Medium,DJI Authorized Dealer; next-day UK delivery,,Claude
Drone Safe Store,GB,Authorized Dealer,Dock,Unknown,https://dronesafestore.com,https://www.linkedin.com/company/drone-safe-store,https://dronesafestore.com/products/dji-dock-2,Company Website,https://dronesafestore.com/categories/dji-dock-3,Company Website,,,,,High,Based in Chichester West Sussex; highest-rated DJI store in UK,UK ecommerce listing DJI Dock 2.,Claude + ChatGPT
Drone Sales,GB,Authorized Dealer,Dock 3,Unknown,https://dronesales.co.uk,https://www.linkedin.com/company/drone-sales,https://dronesales.co.uk/product/dji-dock-3-dock-only/,Company Website,https://dronesales.co.uk/product-category/enterprise/dji-dock/,Company Website,,,,,High,UK distributor; enterprise drone solutions,,Claude
Edinburgh Drone Company,GB,Authorized Dealer,Unknown,Unknown,https://www.edinburghdronecompany.co.uk,https://www.linkedin.com/company/edinburgh-drone-company,https://www.edinburghdronecompany.co.uk/dji/,Company Website,https://enterprise.dji.com/find-a-dealer,DJI Case Study,,,,,Medium,Scotland-based DJI dealer; enterprise solutions,,Claude
Enterprise UAV,GB,System Integrator,Unknown,Unknown,https://enterpriseuav.co.uk,https://www.linkedin.com/company/enterprise-uav,https://enterpriseuav.co.uk/,Company Website,https://www.linkedin.com/in/richard-ellis-0886033b/,LinkedIn Post,,,,,Medium,Commercial drone operator; enterprise solutions provider,,Claude
Hampshire and Isle of Wight Constabulary,GB,Government End-User,Dock 3,Unknown,https://www.hampshire.police.uk,https://www.linkedin.com/company/hampshire-police,https://www.heliguy.com/blogs/posts/police-trial-drones-as-first-responders/,Industry Article,https://theaviationist.com/2025/11/01/uk-police-deploying-drones-over-london-streets/,Industry Article,,,,,High,DFR trial with Matrice 4TD; Isle of Wight deployment,,Claude
Heliguy,GB,Authorized Dealer,Dock,Unknown,https://www.heliguy.com,https://www.linkedin.com/company/heliguy,https://www.heliguy.com/blogs/posts/heliguy-receives-first-dji-dock-in-uk,DJI Case Study,https://www.heliguy.com/blogs/posts/dji-dock-event-uk-first-demonstration/,Industry Article,https://www.heliguy.com/blogs/knowledge-base/how-should-the-dji-dock-be-installed-and-configured/,Company Website,https://www.heliguy.com/,Company Website,High,UK's first DJI Dock distributor; provides installation and training services,UK drone integrator with DJI Dock deployment guidance and DJI Docks services messaging.,Claude + ChatGPT
Komatsu Smart Construction,GB,Enterprise End-User,Dock 2,1,https://www.komatsu.eu/en/smart-construction,https://www.linkedin.com/company/komatsu-uk,https://www.heliguy.com/blogs/posts/dji-dock-installation-and-maintenance/,Industry Article,https://enterprise-insights.dji.com/blog/how-sk-hynix-uses-dji-dock-3-to-power-smarter-construction-site-management,DJI Case Study,,,,,High,UK's first official DJI Dock 2 demonstration site; construction site monitoring,,Claude
Metropolitan Police Service,GB,Government End-User,Dock 3,1,https://www.met.police.uk,https://www.linkedin.com/company/metropolitan-police-service,https://dronexl.co/2025/10/22/london-police-drone-as-first-responder/,Industry Article,https://dronexl.co/2026/02/19/london-iphone-dji-drones,Industry Article,,,,,High,Islington Police station roof; Drone as First Responder program,,Claude
Norfolk Police,GB,Government End-User,Dock 2,1,https://www.norfolk.police.uk,https://www.linkedin.com/company/norfolk-constabulary,https://www.heliguy.com/blogs/posts/police-trial-drones-as-first-responders/,Industry Article,https://dronedj.com/guides/dji-dock/,Industry Article,,,,,High,DFR trial deployment; national Home Office trial,,Claude
Syndico Distribution,GB,Distributor,Dock 2; Dock 3,Unknown,https://syndico.net,https://www.linkedin.com/company/syndico-distribution-ltd,https://syndico.net/dji-dock-3/,Company Website,https://syndico.net/dji/drones/dji-dock2/,Company Website,,,,,High,Exclusive UK distributor for DJI Enterprise products,,Claude
Team UAV,GB,Enterprise End-User; System Integrator,Dock 3,1,https://www.teamuav.uk,https://www.linkedin.com/company/team-uav,https://www.teamuav.uk/enterprise-solutions,Company Website,https://www.linkedin.com/posts/lewis-pritchard-team-uav-dock-3_,LinkedIn Post,,,,,High,DJI Enterprise Reseller; Dock 3 mounted on operational truck,,Claude
Thames Valley Police,GB,Government End-User,Dock 2,1,https://www.thamesvalley.police.uk,https://www.linkedin.com/company/thames-valley-police,https://www.heliguy.com/blogs/posts/police-trial-drones-as-first-responders/,Industry Article,https://dronexl.co/2025/10/22/london-police-drone-as-first-responder/,Industry Article,,,,,Medium,Isle of Wight Festival DFR trial,,Claude
Venari Group,GB,System Integrator,Dock 1,1,https://venari-group.com,https://www.linkedin.com/company/venari-group,https://www.heliguy.com/blogs/posts/heliguy-and-venari-to-unveil-new-drone-command-unit/,Industry Article,https://dronedj.com/2023/09/11/dji-dock-drone-vehicle-ford/,Industry Article,,,,,High,Custom Ford Transit drone command vehicle with integrated DJI Dock,,Claude
iRed Store,GB,Authorized Dealer,Dock 2; Dock 3,Unknown,https://store.ired.co.uk,https://www.linkedin.com/company/ired-store,https://store.ired.co.uk/products/dji-dock-2,Company Website,https://store.ired.co.uk/products/dock-3,Company Website,,,,,High,UK-based online retailer; multiple Dock 2 and 3 bundles,,Claude
Airclip.de,DE,Authorized Dealer,Dock 2; Dock 3,Unknown,https://www.airclip.de/,Not Found,https://www.airclip.de/DJI-Dock-2,Company Website,https://www.airclip.de/DJI-Dock-3,Company Website,,,,,High,Offers DJI Dock 2 and 3 with complete packages including operating licenses. Specializes in Solar Inspection Dock 3 packages.,,Claude
Condor Sicherheit,DE,Enterprise End-User; System Integrator,Dock 2,Unknown,https://www.condor-sicherheit.de/,Not Found,https://www.condor-sicherheit.de/condor-group/aktuelles/aktuelle-meldung/detail/condor-und-u-rob-testen-dji-dock-2,Industry Article,https://www.bdsw.de/presse/mitglieder-pressemitteilungen/condor-und-u-rob-testen-dji-dock-2,Industry Article,,,,,High,Security and protection services company that tested DJI Dock 2 with U-ROB. Uses DJI Dock for automated patrol and alarm verification services for industrial facilities.,,Claude
Copter Pro,DE,Authorized Dealer,Dock 3,Unknown,https://copterpro.de/,Not Found,https://copterpro.de/shop/dji-dock/dji-dock-3/,Company Website,Not Found,Not Found,,,,,Medium,German reseller offering DJI Dock systems with focus on professional applications.,,Claude
Copter-Expert GmbH,DE,Authorized Dealer,Dock 2; Dock 3,Unknown,https://copter-expert.de/,https://www.linkedin.com/in/cesare-piro-263325142/,https://copter-expert.de/collections/dji-dock,Company Website,https://copter-expert.de/products/dji-dock-3,Company Website,,,,,High,Certified by Federal Aviation Office (Luftfahrtbundesamt) since 2017. Designated testing center for remote pilots since 2021. Offers DJI Dock systems and training.,,Claude
Drohne112.de,DE,System Integrator; BOS Service Provider,Dock 1; Dock 2; Dock 3,Unknown,https://www.drohne112.de/,Not Found,https://www.drohne112.de/dock2.html,Company Website,https://www.drohne112.de/dock3.html,Company Website,,,,,High,"Specializes in DJI Dock systems for emergency services (firefighting, rescue, police). Provides firmware updates and initial training for BOS operations.",,Claude
Drohnen.de,DE,Software Platform; Information Hub,Dock 1; Dock 2; Dock 3,Unknown,https://www.drohnen.de/,Not Found,https://www.drohnen.de/39944/dji-dock/,Industry Article,https://www.drohnen.de/58670/dji-dock-3-die-zukunft-autonomer-drohnenstationen-video/,Industry Article,,,,,Medium,"German drone information and news portal providing DJI Dock product information, reviews, and market updates for professionals.",,Claude
Droneline.shop,DE,Authorized Dealer,Dock 1; Dock 3,Unknown,https://droneline.shop/,Not Found,https://droneline.shop/products/dji-dock,Company Website,https://droneline.shop/products/dji-dock-3-ohne-aircraft-fernsteuersender,Company Website,,,,,Medium,German-based retailer specializing in DJI products including DJI Dock systems for professional drone operations.,,Claude
Droneparts.de,DE,Authorized Dealer; Reseller,Dock 2; Dock 3,Unknown,https://droneparts.de/,Not Found,https://droneparts.de/drohnen/dji-enterprise/dji-dock-2/,Company Website,https://droneparts.de/Drohnen/DJI-Enterprise/DJI-Dock-3/,Company Website,,,,,High,"Official DJI Enterprise dealer in Germany. Located at Besigheimer Straße 20, 74394 Hessigheim. Supplies over 35,000 customers worldwide.",,Claude
Droniq GmbH,DE,System Integrator,Dock,Unknown,https://droniq.de/en/,https://de.linkedin.com/company/droniq,https://droniq.de/en/pressemitteilung-droniq-zeigt-naechsten-entwicklungsschritt-der-industriellen-drohnennutzung-auf/,DJI Case Study,https://droniq.de/en/droniqlive-automatisierte-inspektionen-mit-dji-dock/,Industry Article,https://droniq.de/produkte/drohnen/dji-dock/,Company Website,https://droniq.de/en/produkte/drone-in-a-box-system/dji-dock-2/,Company Website,High,Frankfurt-based joint venture of DFS Deutsche Flugsicherung (51%) and Deutsche Telekom (49%). Received Europe's first DJI Dock operating license in May 2023. Works with VGF on infrastructure inspection.,Drone-in-a-box and BVLOS integrator with DJI Dock and Dock 2 pages.,Claude + ChatGPT
Dronivo.de,DE,Authorized Dealer; Reseller,Dock 2; Dock 3,Unknown,https://www.dronivo.de/,Not Found,https://www.dronivo.de/DJI-Dock-2-Complete-solution-inkl-training-and-permit,Company Website,https://www.dronivo.de/DJI-Dock-3-no-Aircraft-Remote-Control-Sender,Company Website,,,,,High,"Drone expert in Germany for hobby, authority BOS, and industry applications. Offers complete DJI Dock solutions with training and permits.",,Claude
GDDC GmbH,DE,Authorized Dealer,Dock 3,Unknown,https://www.gddc-sh.de/,Not Found,https://www.gddc-sh.de/product/dji-dock-3,Company Website,https://www.gddc-sh.de/store/home,Company Website,,,,,High,Official DJI Europa dealer in Northern Germany. Designated testing center of the LBA. Specializes in energy sector and automated drone systems.,,Claude
Globe-Flight.de,DE,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://www.globe-flight.de/,Not Found,https://www.globe-flight.de/DJI-Dock-2-EN,Company Website,https://www.globe-flight.de/DJI-Dock-3-EN,Company Website,,,,,High,German-based distributor offering complete DJI Dock product line with pricing and product information.,,Claude
Hochtief AG,DE,Enterprise End-User,Dock 2,1,https://www.hochtief.com/,Not Found,https://www.heliguy.com/blogs/posts/dji-dock-bvlos-construction-surveys/,Industry Article,https://www.suasnews.com/2026/03/skyports-drone-services-brings-automated-bvlos-drone-in-a-box-aerial-surveying-to-german-construction-leader-hochtief-piloted-from-spain/,Industry Article,,,,,High,German construction company using DJI Dock 2 via Skyports for automated BVLOS surveying of Rheinbrücke Leverkusen bridge project. Deployed for weekly surveys until 2028.,,Claude
MOST Robotics,DE,System Integrator; DFR Service Provider,Dock 2; Dock 3,Unknown,https://mostrobotics.com/,Not Found,https://mostrobotics.com/dji-dock-3-vermessung,Company Website,https://mostrobotics.com/hangar/dji-dock-3,Company Website,,,,,High,"Certified DJI Dock Partner. Provides consulting, installation, and permits. Supports inspection, monitoring, and surveying applications including power line and solar inspection.",,Claude
Pro Fly Center,DE,System Integrator; Training Provider,Dock 1; Dock 2; Dock 3,Unknown,https://proflycenter.com/en/,https://www.facebook.com/proflycenterdjiacademy/,https://proflycenter.com/en/dji-dock-2-dji-dock-mini-der-naechste-schritt-im-automatisierten-flug.htm,Company Website,https://proflycenter.com/blog/morgen-findet-der-erste-vollautomatisierte-drohnenflug-in-deutschland-statt-dji-dock.html,Company Website,,,,,High,European DJI Academy training center in Bad Schönborn. Offers Dock Certificate training. Implementing one of Europe's largest DJI Dock projects for pipeline construction in northern Germany.,,Claude
Solectric GmbH,DE,Authorized Dealer; Software Platform,Dock 2; Dock 3,Unknown,https://www.solectric.de/,https://de.linkedin.com/company/solectric-distribution-gmbh,https://www.solectric.de/2023/05/25/wir-praesentieren-einen-der-ersten-voll-automatisierten-drohnenfluege-in-europa/,Company Website,https://www.solectric.de/2025/02/27/jetzt-vorbestellen-dji-dock-3/,Company Website,,,,,High,Largest DJI partner in Europe (founded 2012). Headquartered in Ubstadt-Weiher. Developed CyberXHub software platform. Managing one of Europe's largest DJI Dock projects for pipeline construction.,,Claude
Studio-Ausrüstung.de,DE,Authorized Dealer,Dock 1; Dock 3,Unknown,https://www.studio-ausruestung.de/,Not Found,https://www.studio-ausruestung.de/drohnen/matrice-m30-serie/10408/dji-dock-fuer-m30/m30t-drohne,Company Website,https://www.studio-ausruestung.de/sperrgueter-fuer-versandregel/13613/dji-dock-3-fuer-matrice-4d-4td,Company Website,,,,,Medium,German distributor of professional DJI drone equipment and accessories.,,Claude
U-ROB,DE,System Integrator; Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://u-rob.com/,https://de.linkedin.com/company/u-rob,https://u-rob.com/shop/schulungen/dji-dock-2-inkl-genehmigung-und-inbetriebnahme/,Company Website,https://u-rob.com/blog/technik/vorstellung-des-dji-dock-2/,Company Website,,,,,High,Leading DJI reseller in Germany with 14 locations in Germany and Austria. Provides complete packages with licensing and commissioning. Developed EasyDock software for local server operations. First to receive Germany's DJI Dock 2 BVLOS approval for customer viscan GmbH.,,Claude
VGF (Verkehrsgesellschaft Frankfurt am Main),DE,Enterprise End-User; Government End-User,Dock 1 (Implied),Unknown,https://www.vgf-ffm.de/en/,https://de.linkedin.com/company/vgfffm,https://droniq.de/en/projekte/verkehrsgesellschaft-frankfurt-vgf/,DJI Case Study,Not Found,Not Found,,,,,Medium,Frankfurt public transport company partnering with Droniq for DJI drone operations including infrastructure inspection and 3D surveying of overhead contact lines.,,Claude
Vermessung3D,DE,System Integrator; DFR Service Provider,Dock 2; Dock 3,Unknown,https://vermessung3d.de/,Not Found,https://vermessung3d.de/produkt/dji-dock-2/,Company Website,https://mostrobotics.com/dji-dock-3-vermessung,Industry Article,,,,,High,"Located in Hagen, Germany. Specializes in UAV surveying complete systems. Offers DJI Dock 2 and 3 for surveying and inspections.",,Claude
Viscan,DE,System Integrator; DFR Service Provider,Dock 2,Unknown,https://viscan.de/,Not Found,https://viscan.de/de/blog/dji-dock-2---offizieller-bvlos-betrieb-durch-viscan-m-glich,Company Website,Not Found,Not Found,,,,,High,Holds special BVLOS operating permits for DJI Dock. First company in Germany to receive DJI Dock 2 BVLOS approval from LBA.,,Claude
Skyports,DE,Enterprise End-User,Dock 2,1,https://skyports.net/,Not Found,https://www.suasnews.com/2026/03/skyports-drone-services-brings-automated-bvlos-drone-in-a-box-aerial-surveying-to-german-construction-leader-hochtief-piloted-from-spain/,Industry Article,https://verticalmag.com/press-releases/skyports-drone-services-brings-automated-bvlos-drone-in-a-box-aerial-surveying-to-hochtief/,Industry Article,,,,,High,Infrastructure company operating DJI Dock 2 at Rheinbrücke Leverkusen bridge in Germany for HOCHTIEF. Remote operations from Madrid. Processes data with DroneDeploy for 2D and 3D surveys.,,Claude
FlytBase,GLOBAL,Software Platform,N/A (Compatible with Dock),N/A,https://www.flytbase.com/,https://www.linkedin.com/company/flytbase/,https://www.flytbase.com/blog/solar-farm-inspections,Case Study,https://www.flytbase.com/blog/dji-dock-features-applications-and-case-studies,Blog,,,,,High,Third-party software platform compatible with DJI Dock. Used by AfterFIT for BVLOS operations. Helps obtain JCAB certifications in Japan. Operational support for Japanese enterprises.,,Claude
DJI Enterprise Insights,IN,Content/Knowledge,"Dock, Dock 2, Dock 3",3,https://enterprise-insights.dji.com/,https://www.linkedin.com/company/dji/,https://enterprise-insights.dji.com/blog/achieve-compliance-operational-success-for-dji-dock-3,EU Compliance Guide,https://enterprise-insights.dji.com/join-dji-dock-partner-network,Partner Network,,,,,High,DJI official resource; EU regulatory guidance; case studies,,Claude
